X,Y,FID,Symbol,Fund_Name,Total_Net,F_year_An,F_year_Ann,F_year_Ann_,Address,City,State,Zip
-75.415272777844393,40.074216110541904,1,VFINX,Vanguard 500 Index,70.8,0.0941,0.0076,0.1248,455 Devon Park Drive,Wayne,PA,19087
-86.118921110836823,39.908184443913164,2,AGTHX,American Funds Grth Fund of Amer A,67.7,0.1276,0.0327,0.1599,8332 Woodfield Crossing Blvd,Indianapolis,IN,46240
-98.684692222511103,29.474214999356434,3,AGTHX,American Funds Grth Fund of Amer A,67.7,0.1276,0.0327,0.1599,3500 Wiseman Blvd,San Antonio,TX,78251
-76.223945000093636,36.879963887609279,4,AGTHX,American Funds Grth Fund of Amer A,67.7,0.1276,0.0327,0.1599,5300 Robin Hood Rd,Norfolk,VA,23513
-86.118921110836823,39.908184443913164,5,AIVSX,American Funds Invmt Co of Amer A,66,0.1113,0.0464,0.1259,8332 Woodfield Crossing Blvd,Indianapolis,IN,46240
-86.118921110836823,39.908184443913164,6,AWSHX,American Funds Washington Mutual A,63.1,0.1076,0.0574,0.1176,8332 Woodfield Crossing Blvd,Indianapolis,IN,46240
-84.442215000238434,39.148259999241752,7,FCNTX,Fidelity Contrafund,55.6,0.1177,0.0698,0.1966,3805 Edwards Rd,Cincinnati,OH,45209
-117.87697499996483,33.61270888778278,8,PTTRX,PIMCO Total Return Instl,52.7,0.0743,0.0685,0.0479,840 Newport Center Drive,Newport Beach,CA,92660
-73.978756666731101,40.762709999171356,9,PTTRX,PIMCO Total Return Instl,52.7,0.0743,0.0685,0.0479,1345 Avenue of the Americas,New York,NY,10105
-84.442215000238434,39.148259999241752,10,FMAGX,Fidelity Magellan,52.4,0.0685,-0.0068,0.1016,3805 Edwards Rd,Cincinnati,OH,45209
-86.118921110836823,39.908184443913164,11,AMECX,American Funds Inc Fund of Amer A,47.4,0.1022,0.0943,0.1359,8332 Woodfield Crossing Blvd,Indianapolis,IN,46240
-122.403739999565914,37.792647776521953,12,DODGX,Dodge & Cox Stock,46.3,0.1467,0.1257,0.1824,555 California St,San Francisco,CA,94104
-86.118921110836823,39.908184443913164,13,CAIBX,American Funds Capital Inc Bldr A,41.2,0.113,0.1082,0.1464,8332 Woodfield Crossing Blvd,Indianapolis,IN,46240
-86.118921110836823,39.908184443913164,14,AEPGX,American Funds EuroPacific Gr A,40.3,0.1034,0.0707,0.2206,8332 Woodfield Crossing Blvd,Indianapolis,IN,46240
-75.415272777844393,40.074216110541904,15,VINIX,Vanguard Institutional Index,39.3,0.0955,0.0089,0.1261,455 Devon Park Drive,Wayne,PA,19087
-84.442215000238434,39.148259999241752,16,FLPSX,Fidelity Low-Priced Stock,37.1,0.1611,0.1857,0.2128,3805 Edwards Rd,Cincinnati,OH,45209
-86.118921110836823,39.908184443913164,17,CWGIX,American Funds Capital World G/I A,35.6,0.1357,0.1126,0.221,8332 Woodfield Crossing Blvd,Indianapolis,IN,46240
-75.415272777844393,40.074216110541904,18,VFIAX,Vanguard 500 Index Adm,35.5,-,0.0084,0.1257,455 Devon Park Drive,Wayne,PA,19087
-86.118921110836823,39.908184443913164,19,ANWPX,American Funds New Perspective A,34.6,0.1133,0.0613,0.1782,8332 Woodfield Crossing Blvd,Indianapolis,IN,46240
-86.118921110836823,39.908184443913164,20,ABALX,American Funds American Balanced A,32.4,0.1021,0.0823,0.1055,8332 Woodfield Crossing Blvd,Indianapolis,IN,46240
-84.442215000238434,39.148259999241752,21,FGRIX,Fidelity Growth & Income,31.2,0.0862,0.0052,0.0983,3805 Edwards Rd,Cincinnati,OH,45209
-84.442215000238434,39.148259999241752,22,FDIVX,Fidelity Diversified International,30.2,0.1273,0.0954,0.2391,3805 Edwards Rd,Cincinnati,OH,45209
-75.415272777844393,40.074216110541904,23,VWNFX,Vanguard Windsor II,29.2,0.1143,0.0728,0.1709,455 Devon Park Drive,Wayne,PA,19087
